task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	98/e65695	1008	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-23 14:20:18.386	1.2s	1s	58.2%	7.3 MB	13.7 MB	685.1 KB	748 B
14	9b/e5221e	1294	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-23 14:20:19.629	6.7s	4s	227.3%	514.8 MB	4.3 GB	33.3 MB	3.9 MB
9	cd/9eb1bd	1774	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-23 14:20:26.341	5.6s	4s	279.4%	415.7 MB	4.3 GB	33.1 MB	3.6 MB
15	cc/159ed6	2256	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-23 14:20:31.933	5.5s	3s	287.5%	466.5 MB	4.3 GB	37.4 MB	4 MB
6	8f/c7b7ef	2737	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-23 14:20:37.411	10.6s	9s	230.3%	1.1 GB	4.3 GB	73.3 MB	3.9 MB
11	e3/2ab591	3484	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-23 14:20:48.040	9.5s	8s	161.0%	1.4 GB	2 GB	36.5 MB	6.4 MB
8	6b/bd4b0a	4196	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-23 14:20:57.531	5.3s	4s	178.9%	1.3 GB	2 GB	36.7 MB	7.5 MB
12	55/ce707b	4694	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2023-10-23 14:21:02.864	8s	7s	138.1%	919 MB	1.1 GB	44.8 MB	13.1 MB
7	2b/c9df95	5295	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2023-10-23 14:21:10.841	9.2s	8s	478.5%	2.1 GB	2.6 GB	80.4 MB	40 MB
10	f3/2691fb	5980	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-23 14:21:20.060	8.1s	7s	189.2%	1.4 GB	2.1 GB	38.9 MB	9.1 MB
13	99/b70385	6585	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-23 14:21:28.140	6.4s	5s	234.7%	713.4 MB	4.3 GB	34.5 MB	3.8 MB
4	e8/c558e3	7116	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-10-23 14:21:34.561	1.1s	7ms	55.2%	0	0	91.6 KB	5 KB
1	4e/37ee4c	7352	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-10-23 14:21:35.672	1.1s	0ms	92.3%	11.2 MB	16.3 MB	679.3 KB	4.1 KB
5	04/0dcb67	7570	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-23 14:21:36.790	1.4s	0ms	139.8%	6.7 MB	13.7 MB	1.8 MB	8.4 MB
3	57/00f151	7961	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-23 14:21:38.223	1.2s	0ms	22.5%	3.1 MB	5.4 MB	136.1 KB	4.8 KB
16	f0/1cc7ef	8179	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2023-10-23 14:21:39.459	5.4s	4s	283.3%	550.8 MB	4.3 GB	26.8 MB	3.8 MB
17	04/38a3d8	8584	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2023-10-23 14:21:44.898	5.5s	3s	269.9%	311.2 MB	4.3 GB	27.7 MB	3.7 MB
18	cf/8f99cb	9060	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2023-10-23 14:21:50.411	5.4s	4s	267.5%	360.5 MB	4.3 GB	33.4 MB	3.9 MB
19	e5/b6b5bb	9537	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2023-10-23 14:21:55.860	9.6s	7s	233.0%	1.1 GB	4.3 GB	60.4 MB	3.8 MB
20	fa/66a9b3	10231	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2023-10-23 14:22:05.499	5.6s	3s	279.0%	491.9 MB	4.3 GB	29.4 MB	3.8 MB
21	8b/4c64fa	10737	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-23 14:22:11.071	2.7s	2s	54.3%	67.2 MB	9.9 GB	17.9 MB	16.7 KB
23	f5/d12cf2	11158	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2023-10-23 14:22:13.803	18.7s	17s	1200.5%	224.8 MB	1.9 GB	92.7 MB	84.6 MB
25	63/b9988d	12624	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2023-10-23 14:22:32.516	5m 36s	5m 35s	1215.4%	291.8 MB	1.9 GB	820.8 MB	807.9 MB
24	54/05a441	21468	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2023-10-23 14:28:08.937	42.1s	41s	1196.1%	351.4 MB	2 GB	92.5 MB	83.1 MB
22	85/bfecc6	23398	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2023-10-23 14:28:51.004	44.1s	43s	1204.7%	273 MB	1.9 GB	116.8 MB	107.1 MB
26	36/1abdd9	25329	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2023-10-23 14:29:35.126	1m 6s	1m 6s	1207.2%	284.7 MB	1.9 GB	173.2 MB	163.5 MB
27	4e/b6639b	27685	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-23 14:30:41.561	1.5s	0ms	478.0%	21.6 MB	5 GB	7.9 MB	7.4 MB
28	1b/224dcc	27972	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-23 14:30:43.090	3.9s	3s	503.8%	730.6 MB	5.6 GB	35.6 MB	32.5 MB
29	48/3ffddd	28319	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-23 14:30:47.015	1.6s	0ms	474.8%	25 MB	5.1 GB	12.1 MB	5.1 MB
30	9a/e26e30	28558	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-23 14:30:48.574	1.6s	0ms	468.5%	26.7 MB	5 GB	5.1 MB	4.6 MB
31	62/befa3e	28798	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-23 14:30:50.174	1.7s	1s	495.0%	23.5 MB	5 GB	7.9 MB	7.2 MB
32	95/e8672b	29036	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2023-10-23 14:30:51.919	1.3s	0ms	123.1%	6.6 MB	220.9 MB	7.5 MB	5 KB
33	4b/114759	29257	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2023-10-23 14:30:53.208	1.8s	1s	138.5%	6.5 MB	220.9 MB	32.6 MB	5 KB
34	55/c3ca7a	29480	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2023-10-23 14:30:54.966	1.2s	0ms	104.6%	6.4 MB	220.9 MB	5.2 MB	5 KB
35	43/09e2d3	29700	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2023-10-23 14:30:56.160	1.2s	0ms	121.6%	6.5 MB	220.9 MB	4.7 MB	5 KB
