task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	d9/551a39	1240	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-11 18:48:11.249	7m 31s	0ms	104.1%	11.5 MB	16.5 MB	685 KB	732 B
4	c6/45acba	1580	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-10-11 18:55:42.436	1.7s	0ms	97.7%	11.1 MB	16 MB	679.3 KB	4.1 KB
2	2e/2e280d	1808	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-10-11 18:55:44.145	4m 19s	14ms	123.1%	0	0	91.6 KB	4.9 KB
3	92/42d637	2195	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-11 19:00:02.719	2m 32s	0ms	111.1%	3.1 MB	5.4 MB	136.1 KB	4.8 KB
1	1f/7e03de	2489	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-11 19:02:34.292	8m 45s	0ms	167.6%	10.9 MB	15.9 MB	1.8 MB	8.4 MB
7	14/20bb1b	2956	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-11 19:11:19.309	43m 43s	8s	214.1%	1.1 GB	4.4 GB	73.3 MB	3.9 MB
8	81/8e419f	3864	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-11 19:55:02.268	11m 29s	3s	180.9%	1.2 GB	1.7 GB	36.7 MB	7.5 MB
15	64/430e61	4321	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-11 20:06:31.412	6.4s	5s	244.2%	349.6 MB	4.4 GB	37.4 MB	4 MB
10	b5/eff6d6	4862	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-11 20:06:37.810	6.4s	4s	234.7%	556.3 MB	4.3 GB	34.3 MB	3.8 MB
14	d7/4436de	5396	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2023-10-11 20:06:44.237	7.1s	6s	138.3%	272.2 MB	1.1 GB	44.8 MB	13.1 MB
13	94/e81658	5944	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-11 20:06:51.309	8.1s	7s	158.5%	859.1 MB	1.2 GB	36.5 MB	6.4 MB
9	1b/a9aa41	6550	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-11 20:06:59.403	6.4s	4s	220.6%	367.7 MB	4.3 GB	33.1 MB	3.6 MB
12	2e/7fedfb	7083	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-11 20:07:05.850	6.3s	4s	214.0%	504.3 MB	4.3 GB	33.1 MB	3.9 MB
6	ca/eca425	7589	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2023-10-11 20:07:12.173	8.8s	8s	462.4%	2.1 GB	2.7 GB	80.4 MB	40 MB
11	57/7c9ffa	8246	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-11 20:07:20.934	7.7s	7s	182.4%	1.5 GB	2.1 GB	38.9 MB	9.1 MB
16	1d/1adf89	8849	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-11 20:07:28.638	1h 9m 49s	3s	60.5%	67.6 MB	8.9 GB	17.9 MB	16.7 KB
18	bd/002e51	9418	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2023-10-11 21:17:17.618	6m	16s	1175.9%	223.2 MB	1.9 GB	92.7 MB	84.6 MB
17	33/5c7198	10812	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2023-10-11 21:23:17.995	8.7s	6s	301.8%	314.9 MB	4.3 GB	27.9 MB	3.7 MB
19	21/0ea3bd	11393	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2023-10-11 21:23:26.693	10.5s	8s	295.3%	357.2 MB	4.3 GB	33.5 MB	3.9 MB
20	11/b7d81b	12085	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2023-10-11 21:23:37.181	34.7s	32s	1188.0%	344.8 MB	2 GB	92.5 MB	83 MB
