task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	79/90f379	1177	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-12 04:38:40.473	1.9s	0ms	65.3%	8.9 MB	14.3 MB	685.1 KB	749 B
11	d1/8065ab	1460	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-12 04:38:42.509	10.9s	8s	252.0%	569.9 MB	4.3 GB	33.3 MB	3.9 MB
10	7d/1fb501	2091	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-12 04:38:53.409	10.8s	8s	275.9%	777.6 MB	4.3 GB	34.5 MB	3.8 MB
14	a4/8738e7	2796	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-12 04:39:04.227	9.6s	7s	288.1%	359.4 MB	4.3 GB	37.5 MB	4 MB
6	e5/57402b	3434	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-12 04:39:13.852	19.5s	17s	230.5%	1 GB	4.3 GB	73.4 MB	3.9 MB
7	7e/c87759	4344	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2023-10-12 04:39:33.387	18.5s	17s	455.4%	2.1 GB	2.7 GB	80.4 MB	40 MB
9	e7/1be532	5218	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-12 04:39:51.848	8.8s	6s	283.6%	352.7 MB	4.3 GB	33.3 MB	3.6 MB
15	a3/fffbea	5810	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2023-10-12 04:40:00.612	14.7s	13s	140.3%	88.2 MB	93.2 MB	44.8 MB	13.1 MB
8	88/389207	6629	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-12 04:40:15.293	8.4s	6s	201.2%	1.3 GB	2 GB	36.7 MB	7.5 MB
12	b3/7063d7	7232	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-12 04:40:23.677	14.9s	13s	190.2%	181.7 MB	186.8 MB	38.9 MB	9.1 MB
13	84/a2be6b	8049	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-12 04:40:38.597	16.3s	15s	158.8%	175.9 MB	181 MB	36.5 MB	6.4 MB
4	b4/4118e8	8895	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-10-12 04:40:54.915	1.9s	18ms	70.6%	0	0	91.6 KB	5 KB
1	69/fd3edc	9125	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-10-12 04:40:56.849	1.7s	0ms	92.6%	11.2 MB	16.3 MB	679.3 KB	4.1 KB
2	a2/6253b8	9348	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-12 04:40:58.574	1.7s	0ms	47.6%	3.1 MB	5.4 MB	136.1 KB	4.8 KB
3	ee/5aa338	9568	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-12 04:41:00.311	2.5s	1s	415.7%	7.5 MB	13.9 MB	1.8 MB	8.4 MB
16	f8/995351	9960	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2023-10-12 04:41:02.842	16.5s	14s	242.6%	1022.3 MB	4.3 GB	60.4 MB	3.8 MB
17	51/0f296e	10774	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2023-10-12 04:41:19.321	9.5s	7s	284.4%	376.4 MB	4.3 GB	33.6 MB	3.9 MB
18	94/bdefba	11414	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2023-10-12 04:41:28.810	8.6s	6s	291.2%	322.5 MB	4.3 GB	27.8 MB	3.7 MB
19	36/2aff83	12005	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2023-10-12 04:41:37.426	9.5s	7s	268.6%	439.3 MB	4.3 GB	29.5 MB	3.8 MB
20	7d/4c6fb9	12644	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2023-10-12 04:41:46.953	9.4s	7s	275.2%	352.9 MB	4.3 GB	26.7 MB	3.8 MB
21	ee/c891c4	13282	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-12 04:41:56.328	5.1s	3s	57.5%	67.4 MB	10 GB	17.9 MB	16.7 KB
22	e6/e39ee7	13960	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2023-10-12 04:42:01.437	3m 52s	3m 50s	1208.7%	288.6 MB	1.9 GB	820.8 MB	807.9 MB
23	89/4905dc	19822	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2023-10-12 04:45:53.438	31.9s	30s	1183.6%	347.1 MB	2 GB	92.5 MB	83 MB
26	0f/bb9677	21537	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2023-10-12 04:46:25.360	30.6s	29s	1192.1%	275.9 MB	1.9 GB	116.8 MB	107.1 MB
24	bb/decd8b	23259	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2023-10-12 04:46:55.985	16.9s	16s	1188.0%	226.3 MB	1.9 GB	92.7 MB	84.6 MB
25	c4/8dbdbf	24654	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2023-10-12 04:47:12.884	46.1s	45s	1199.2%	284.1 MB	1.9 GB	173.2 MB	163.6 MB
27	f4/b6a8d1	26688	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-12 04:47:58.996	6.1s	5s	520.3%	731.8 MB	5.6 GB	35.6 MB	32.5 MB
28	b1/ffbd9b	27180	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-12 04:48:05.084	2.1s	1s	497.0%	25.3 MB	5.1 GB	12.1 MB	5.1 MB
